Intersection Type, Street Number,Nearest street number intersection,Latitude, Longitude,roundabout flag,2012 accidents,2013 accidents,2014 accidents,2015 accidents,Total accidents
1,2205,5162,45 30.542525889,-122 29.474200083,0,1,0,0,0,1
1,614,9722,45 30.15962156699999998,-122 33.57373404099999995,0,13,0,0,0,13
1,1903,5174,45 31.45071878600000005,-122 29.2401355,0,1,0,0,0,1
1,816,5028,45 31.3261886,-122 38.13971132199999998,0,1,0,0,0,1
1,232,8403,45 29.47584960200000005,-122 24.2962827,0,3,0,0,0,3
1,1311,2639,45 33.45780170899999995,-122 40.09165728000000001,0,2,0,0,0,2
3,1114,2402,45 32.509331064,-122 39.41737576399999995,0,1,0,0,0,1
1,922,5017,45 31.350810524,-122 41.180033277,0,1,0,0,0,1
1,1605,2631,45 31.508885542,-122 39.5668009820000001,0,1,0,0,0,1
1,2612,5102,45 31.60253829,-122 33.303563978,0,4,0,0,0,4
1,1055,5027,45 29.250674351,-122 38.188766693,0,1,0,0,0,1
1,1311,5089,45 33.456969056,-122 34.165136537,0,3,0,0,0,3
1,1943,5102,45 33.19399692899999998,-122 33.279628557,0,4,0,0,0,4
1,2328,2639,45 32.169704107,-122 40.012196960000000001,0,2,0,0,0,2
3,205,612,45 30.159937104,-122 27.26926428,0,4,0,0,0,4
1,1432,5027,45 34.262978244,-122 38.173148444,0,1,0,0,0,1
3,614,5060,45 30.192791209,-122 36.6015273400000001,0,4,0,0,0,4
5,267,2639,45 32.63409971,-122 40.028544240000000004,0,5,0,0,0,5
1,124,5010,45 31.199267505,-122 39.203027177,0,1,0,0,0,1
4,922,5057,45 31.35345527000000004,-122 36.13817788199999999,0,1,0,0,0,1
1,1208,5015,45 31.429268875,-122 41.109534339,0,1,0,0,0,1
1,171,989,45 34.24733714,-122 32.15529644199999998,0,2,0,0,0,2
1,1528,5087,45 30.38585622799999996,-122 34.267319406,0,2,0,0,0,2
1,2402,2620,45 32.36757998,-122 39.419380161,0,2,0,0,0,2
1,1108,1605,45 31.477113591,-122 40.20708140999999998,0,2,0,0,0,2
3,267,5013,45 32.61485687,-122 39.90377413,0,1,0,0,0,1
3,2259,5027,45 31.9531908300000001,-122 38.17141343300000003,0,1,0,0,0,1
1,614,5162,45 30.164602629,-122 29.47846298499999996,0,2,0,0,0,2
1,608,1206,45 33.523879485,-122 41.331327171,0,1,0,0,0,1
1,1943,5047,45 33.199082121,-122 36.53572906200000006,0,1,0,0,0,1
1,1538,2144,45 33.119586495,-122 39.5284004350000001,0,1,0,0,0,1
1,234,5162,45 31.199224913,-122 29.472398528,0,4,0,0,0,4
3,1301,8217,45 30.3435585,-122 23.5988671850000001,0,2,0,0,0,2
1,464,5087,45 30.107575491,-122 34.24095122600000003,0,1,0,0,0,1
1,2205,5037,45 30.515112276,-122 37.330972558,0,1,0,0,0,1
1,905,5181,45 32.49063196,-122 28.37980430299999995,0,8,0,0,0,8
1,1012,5032,45 32.11214654,-122 37.596720035,0,1,0,0,0,1
1,134,5028,45 31.17170992000000002,-122 38.14236157999999998,0,1,0,0,0,1
3,2210,5133,45 33.182410279,-122 31.320837547,0,1,0,0,0,1
3,2401,5024,45 27.463518274,-122 38.25802738,0,1,0,0,0,1
1,922,5102,45 31.345779985,-122 33.293414587,0,8,0,0,0,8
1,124,5008,45 31.199511115,-122 39.27606556199999996,0,2,0,0,0,2
1,2620,5108,45 32.29606619,-122 33.57520553,0,1,0,0,0,1
1,1591,5006,45 31.2005535,-122 39.350283511,0,3,0,0,0,3
1,1564,5013,45 27.592635689,-122 39.107791959,0,2,0,0,0,2
1,922,5024,45 31.35295083399999996,-122 38.290620266,0,1,0,0,0,1
3,1005,5042,45 32.16823197,-122 37.13152556599999999,0,3,0,0,0,3
5,1005,5047,45 32.15426216999999998,-122 36.539547153,0,5,0,0,0,5
1,2231,5040,45 30.222247924,-122 37.17433721,0,1,0,0,0,1
1,461,1938,45 34.11849195199999999,-122 39.5685026750000001,0,1,0,0,0,1
1,461,2225,45 33.7413752900000001,-122 39.565099678,0,1,0,0,0,1
1,824,5101,45 28.381310954,-122 33.354108857,0,2,0,0,0,2
1,2644,5021,45 32.15738597199999997,-122 41.414384448,0,1,0,0,0,1
1,1055,5122,45 29.22614670899999997,-122 32.157165016,0,2,0,0,0,2
1,2259,5099,45 31.86016104,-122 33.44278403999999995,0,5,0,0,0,5
1,134,929,45 31.17420291100000004,-122 39.38579226399999996,0,2,0,0,0,2
3,2659,5053,45 30.51038986,-122 36.28903836300000002,0,1,0,0,0,1
1,418,5050,45 30.51038986,-122 36.28903836300000002,0,1,0,0,0,1
1,2259,5122,45 31.8484148800000002,-122 32.16002907500000003,0,7,0,0,0,7
1,5181,9104,45 32.32808986,-122 28.3811923970000001,0,1,0,0,0,1
1,1204,5018,45 31.48253365,-122 41.338627691,1,1,0,0,0,1
1,2702,5082,45 30.582121616,-122 34.43976906400000004,0,1,0,0,0,1
1,1940,5033,45 29.484642184,-122 37.534210817,0,1,0,0,0,1
1,725,5009,45 31.30483359399999998,-122 40.486054746,0,3,0,0,0,3
1,1028,5031,45 30.434477026,-122 38.15637048,0,1,0,0,0,1
1,1055,5082,45 29.249411484,-122 34.43718362799999994,0,3,0,0,0,3
1,1432,2402,45 34.38029328899999996,-122 39.408469557,0,2,0,0,0,2
1,2259,5006,45 31.97068797,-122 39.349778585,0,5,0,0,0,5
1,1940,5082,45 29.50668548200000004,-122 34.433398183,0,8,0,0,0,8
1,1108,1311,45 33.455562989,-122 40.56038868900000004,0,1,0,0,0,1
3,614,5083,45 30.16882963500000002,-122 34.392058972,0,2,0,0,0,2
1,614,5122,45 30.147339046,-122 32.15659080599999998,0,11,0,0,0,11
1,1534,1904,45 29.121328209,-122 23.58687371999999996,0,4,0,0,0,4
1,1004,6239,45 31.472558664,-122 24.59251024,0,1,0,0,0,1
1,1513,5002,45 30.52806606499999994,-122 40.348347979,0,5,0,0,0,5
3,1617,856,45 36.32626191399999996,-122 41.278647119,0,1,0,0,0,1
1,829,5102,45 32.531815447,-122 33.279044952,0,2,0,0,0,2
5,482,1936,45 30.54486748,-122 40.31313987899999997,0,3,0,0,0,3
3,2323,2602,45 29.293325909,-122 22.23695877499999998,0,1,0,0,0,1
1,922,5148,45 31.35265205200000004,-122 30.381139368,0,2,0,0,0,2
1,829,5033,45 32.53717926500000004,-122 37.504944989,0,3,0,0,0,3
1,1090,5035,45 27.6816914200000001,-122 42.46111682200000004,0,1,0,0,0,1
1,113,5004,45 31.90965389,-122 40.343078195,0,1,0,0,0,1
1,614,5174,45 30.164911083,-122 29.47858114,0,4,0,0,0,4
1,1204,5017,45 31.39295946,-122 41.28943240999999997,0,1,0,0,0,1
1,2259,5148,45 31.88728768,-122 30.4778877620000001,0,3,0,0,0,3
3,206,5162,45 27.431828711,-122 29.483563706,0,1,0,0,0,1
1,226,5007,45 30.59395238,-122 39.312275344,0,3,0,0,0,3
1,1023,2218,45 31.8653062400000001,-122 24.44846302,0,5,0,0,0,5
3,1517,5017,45 29.287251646,-122 38.540523585,0,1,0,0,0,1
1,1432,1934,45 35.188742792,-122 44.4310399279999999,0,1,0,0,0,1
1,267,486,45 31.255252244,-122 40.38867330200000005,0,10,0,0,0,10
1,283,5039,45 31.220030272,-122 37.228789121,0,4,0,0,0,4
1,925,5008,45 33.230239686,-122 39.27323262800000002,0,1,0,0,0,1
3,1012,5006,45 32.113787558,-122 39.345845806,0,1,0,0,0,1
3,2107,5122,45 28.485497676,-122 32.14001703400000002,0,1,0,0,0,1
3,103,2201,45 26.248111496,-122 42.461544763,0,1,0,0,0,1
1,905,2225,45 33.74249883,-122 39.454928038,0,3,0,0,0,3
3,323,9553,45 30.20050523300000002,-122 40.478417355,0,2,0,0,0,2
1,829,5141,45 32.52258817,-122 31.39708377999999995,0,1,0,0,0,1
1,1943,5037,45 33.19935654100000004,-122 37.31848143100000005,0,1,0,0,0,1
1,2312,5019,45 27.48976648700000005,-122 38.421973528,0,2,0,0,0,2
1,5181,9102,45 32.26530191600000002,-122 28.381909781,0,2,0,0,0,2
1,2259,5160,45 31.89454637,-122 29.566096629,0,2,0,0,0,2
1,922,5094,45 31.348017746,-122 34.03840147,0,1,0,0,0,1
5,922,9571,45 31.352767162,-122 41.107135527,0,1,0,0,0,1
1,2612,5099,45 31.5958863200000001,-122 33.443118528,0,4,0,0,0,4
1,226,5029,45 30.591538384,-122 38.9909446800000001,0,1,0,0,0,1
1,563,5106,45 30.54090265599999995,-122 33.155532072,0,2,0,0,0,2
3,1019,5079,45 28.590176642,-122 34.564724419,0,1,0,0,0,1
3,614,5107,45 30.152554737,-122 33.121427357,0,1,0,0,0,1
1,2658,5080,45 28.46587788399999994,-122 34.537471122,0,1,0,0,0,1
1,1721,5024,45 31.522386341,-122 42.2485947,0,2,0,0,0,2
5,212,5064,45 26.35240893299999996,-122 44.33213787100000005,0,2,0,0,0,2
1,1055,5072,45 29.24878607199999998,-122 35.20907068,0,2,0,0,0,2
1,486,5022,45 31.249183909,-122 38.36443674200000004,0,2,0,0,0,2
1,1591,2402,45 31.20596398000000002,-122 39.424628993,0,1,0,0,0,1
5,614,5012,45 30.174742333,-122 39.133920565,0,3,0,0,0,3
1,267,2402,45 32.62922476,-122 39.4191775820000001,0,6,0,0,0,6
1,1508,1918,45 28.52010547100000004,-122 40.241385215,0,1,0,0,0,1
1,1321,5108,45 32.31437328000000004,-122 33.54993898,0,1,0,0,0,1
3,401,1103,45 31.477503951,-122 24.175032965,0,1,0,0,0,1
1,1534,5017,45 31.503445444,-122 41.25877588,0,1,0,0,0,1
1,2662,5105,45 33.25910232500000003,-122 33.16994275199999997,0,2,0,0,0,2
3,2328,5102,45 32.157004816,-122 33.28775223200000003,0,1,0,0,0,1
1,1591,5007,45 31.19929661,-122 39.312363039,0,5,0,0,0,5
1,1005,5112,45 32.048164359999999995,-122 32.495195569,0,1,0,0,0,1
3,806,2289,45 30.538106083,-122 43.381134214,0,1,0,0,0,1
1,1687,5045,45 28.28514054,-122 43.234075,0,1,0,0,0,1
3,248,5052,45 29.325296151,-122 36.324294145,0,1,0,0,0,1
3,5122,9533,45 32.427180938,-122 32.146936047,0,2,0,0,0,2
1,267,458,45 30.50459739,-122 40.570480338,0,1,0,0,0,1
1,2702,5003,45 30.5690740129999999,-122 39.46016765500000005,0,1,0,0,0,1
1,283,2402,45 31.225527948,-122 39.4236053270000001,0,4,0,0,0,4
3,1311,1342,45 33.45589284,-122 34.424608664,0,5,0,0,0,5
1,2309,5020,45 30.5413224279999999,-122 38.440460484,0,1,0,0,0,1
3,2290,5057,45 32.26343285700000003,-122 36.165172725,0,1,0,0,0,1
1,929,2620,45 32.36886737000000003,-122 39.38285133,0,7,0,0,0,7
3,2174,7033,45 34.482700625,-122 38.01171067,0,1,0,0,0,1
1,1023,2102,45 30.47765005200000004,-122 24.498741451,0,2,0,0,0,2
1,234,5165,45 31.19572429800000002,-122 29.358675489,0,1,0,0,0,1
1,1538,2639,45 33.119441308,-122 40.02735877,0,1,0,0,0,1
1,614,5082,45 30.173567293,-122 34.432455733,0,11,0,0,0,11
1,267,5067,45 32.57502315,-122 35.515559906,0,1,0,0,0,1
3,2218,5217,45 31.8707009800000002,-122 26.208388462,0,1,0,0,0,1
1,1311,5042,45 33.460917141,-122 37.13527911800000002,0,3,0,0,0,3
3,710,5136,45 28.574388423,-122 31.248906461,0,1,0,0,0,1
1,1918,7614,45 29.120155471,-122 28.3303006,0,1,0,0,0,1
1,2259,2402,45 31.97314344,-122 39.4242179829999999,0,3,0,0,0,3
1,1005,5007,45 32.10729836000000001,-122 39.309296423,0,2,0,0,0,2
3,1083,2134,45 30.266285648,-122 40.33006572399999996,0,1,0,0,0,1
1,2107,5050,45 28.50176517100000005,-122 36.409753863,0,1,0,0,0,1
1,2612,9723,45 31.59788865,-122 33.5266395060000001,0,11,0,0,0,11
1,5011,458,45 30.53832514100000004,-122 41.9655888599999999,0,1,0,0,0,1
1,267,922,45 31.357946209,-122 40.392466661,0,2,0,0,0,2
1,2221,2908,45 35.45113713700000005,-122 45.56714937999999995,0,1,0,0,0,1
5,2507,5023,45 32.12902104800000002,-122 41.55943366299999994,0,3,0,0,0,3
3,115,119,45 34.36940838899999996,-122 33.389462695,0,2,0,0,0,2
1,922,5039,45 31.343783506,-122 37.214848492,1,3,0,0,0,3
1,2232,5013,45 27.412932748,-122 39.10804417599999999,0,1,0,0,0,1
1,612,1301,45 30.172119873,-122 23.597637358,0,5,0,0,0,5
3,1574,5136,45 29.7538193,-122 31.249136695,0,1,0,0,0,1
1,486,5012,45 31.250364825,-122 39.129644513,0,4,0,0,0,4
5,425,5004,45 30.211201967,-122 40.552504438,0,1,0,0,0,1
1,1940,5026,45 29.52603730000000006,-122 38.22625447100000002,0,4,0,0,0,4
1,267,604,45 31.28087979999999998,-122 40.389766101,0,2,0,0,0,2
3,211,5181,45 32.12184361000000001,-122 28.381096677,0,5,0,0,0,5
1,1802,5003,45 31.123100855,-122 39.45915957,0,1,0,0,0,1
1,612,5182,45 30.164290816,-122 28.321336955,0,11,0,0,0,11
1,1005,5122,45 32.08651281999999999,-122 32.154897514,0,6,0,0,0,6
1,2205,5020,45 31.14097974800000003,-122 41.369420693,0,1,0,0,0,1
1,449,1112,45 35.28748455,-122 45.260301077,0,1,0,0,0,1
3,425,5012,45 30.208586697,-122 39.133625625,0,2,0,0,0,2
1,1940,5112,45 29.476631429,-122 32.527203561,0,5,0,0,0,5
5,267,9556,45 30.288557307,-122 41.7641103200000001,0,1,0,0,0,1
1,267,5024,45 32.63219588,-122 38.281764811,0,1,0,0,0,1
3,1055,5025,45 29.250615937,-122 38.260371695,0,1,0,0,0,1
1,2203,5257,45 31.8646843400000002,-122 23.5430442339999999,0,6,0,0,0,6
1,1208,5016,45 31.4285244829999999,-122 41.147050663,0,2,0,0,0,2
1,1301,1923,45 29.305511554,-122 23.55737262300000005,0,5,0,0,0,5
1,171,1061,45 34.46635056,-122 32.392932897,0,1,0,0,0,1
4,922,5058,45 31.35356750399999996,-122 36.149731155,0,1,0,0,0,1
3,2402,2662,45 33.276017689,-122 39.415055914,0,1,0,0,0,1
1,2258,5047,45 32.37480132,-122 36.5304961170000001,0,3,0,0,0,3
1,276,1108,45 34.31068695399999996,-122 40.55541936899999996,0,3,0,0,0,3
1,2213,5017,45 32.57678175000000005,-122 41.19116633399999998,0,1,0,0,0,1
1,922,5087,45 31.349848596,-122 34.254458402,0,2,0,0,0,2
1,171,5158,45 33.27350462100000005,-122 30.07567726,0,2,0,0,0,2
1,267,5033,45 32.65736775,-122 37.503968109,0,2,0,0,0,2
3,2206,5201,45 32.421019319,-122 27.23773159699999997,0,4,0,0,0,4
1,1820,5021,45 31.552085848,-122 41.40673781299999995,0,1,0,0,0,1
1,935,1938,45 34.11757623800000001,-122 41.439745246,0,2,0,0,0,2
3,156,251,45 26.478352572,-122 41.13632633600000002,0,2,0,0,0,2
1,401,5257,45 31.476126004,-122 23.57417271400000004,0,4,0,0,0,4
1,922,9725,45 31.347906303,-122 33.514121374,0,7,0,0,0,7
1,458,5003,45 30.46521286200000006,-122 40.423276619,0,3,0,0,0,3
3,1804,5223,45 31.121514659,-122 26.15825265,0,1,0,0,0,1
1,609,2615,45 34.514852184,-122 41.12787828,0,1,0,0,0,1
1,2612,5092,45 28.448433679,-122 34.70022744999999995,0,2,0,0,0,2
1,2210,5077,45 33.12686874,-122 35.15745296999999998,0,1,0,0,0,1
1,283,5004,45 31.231390057,-122 40.27821165500000003,0,4,0,0,0,4
1,626,5082,45 28.331481005,-122 34.44639312,0,2,0,0,0,2
1,2259,5082,45 28.331481005,-122 34.44639312,0,2,0,0,0,2
3,1928,5082,45 31.13620690300000001,-122 34.44618861700000004,0,1,0,0,0,1
3,1691,5101,45 33.439413246,-122 33.31345996399999997,0,1,0,0,0,1
3,299,2289,45 31.8625355,-122 44.08580905999999999,0,1,0,0,0,1
1,1940,5052,45 29.509514636,-122 36.325795101,0,1,0,0,0,1
1,221,2402,45 32.58277392000000006,-122 39.416825523,0,3,0,0,0,3
3,101,117,45 32.33288222000000003,-122 25.39300960700000005,0,1,0,0,0,1
3,1940,5088,45 29.50638342,-122 34.20365071899999997,0,1,0,0,0,1
1,171,2698,45 34.24733714,-122 32.15529644199999998,0,1,0,0,0,1
1,1940,5049,45 29.511054508,-122 36.453751614,0,2,0,0,0,2
1,929,1110,45 31.406384442,-122 39.3843103320000001,0,1,0,0,0,1
4,614,6084,45 30.165921232,-122 34.320960174,0,1,0,0,0,1
1,905,1311,45 33.458282264,-122 39.454412822,0,1,0,0,0,1
1,614,5148,45 30.151984041,-122 30.381479053,0,6,0,0,0,6
3,2219,5182,45 30.32838665,-122 28.324183175,0,1,0,0,0,1
3,614,5067,45 30.193464743,-122 35.404980888,0,1,0,0,0,1
1,111,5015,45 33.32728875699999996,-122 38.58968531299999995,0,2,0,0,0,2
3,1940,5012,45 30.33200595,-122 39.113430058,0,1,0,0,0,1
1,1027,7210,45 30.104967817,-122 25.4062954439999999,0,1,0,0,0,1
1,1319,5112,45 28.13380473,-122 32.529018661,0,2,0,0,0,2
3,1506,2126,45 29.470058566,-122 39.31433340899999997,0,1,0,0,0,1
1,1311,5072,45 33.455906338,-122 35.199111141,0,1,0,0,0,1
